service_id,date,exception_type
IntL-VurbCP,20230427,1
IntL-VurbCP,20230428,1
IntL-VurbCP,20230502,1
IntL-VurbCP,20230503,1
IntL-VurbCP,20230504,1
IntL-VurbCP,20230505,1
IntL-VurbCP,20230508,1
IntL-VurbCP,20230509,1
IntL-VurbCP,20230510,1
IntL-VurbCP,20230511,1
IntL-VurbCP,20230512,1
IntL-VurbCP,20230515,1
IntL-VurbCP,20230516,1
IntL-VurbCP,20230517,1
IntL-VurbCP,20230518,1
IntL-VurbCP,20230519,1
IntL-VurbCP,20230522,1
IntL-VurbCP,20230523,1
IntL-VurbCP,20230524,1
IntL-VurbCP,20230525,1
IntL-VurbCP,20230526,1
IntL-VurbCP,20230529,1
IntL-VurbCP,20230530,1
IntL-VurbCP,20230531,1
IntL-VurbCP,20230601,1
IntL-VurbCP,20230605,1
IntL-VurbCP,20230606,1
IntL-VurbCP,20230607,1
IntL-VurbCP,20230918,1
IntL-VurbCP,20230919,1
IntL-VurbCP,20230920,1
IntL-VurbCP,20230921,1
IntL-VurbCP,20230922,1
IntL-VurbCP,20230925,1
IntL-VurbCP,20230926,1
IntL-VurbCP,20230927,1
IntL-VurbCP,20230928,1
IntL-VurbCP,20230929,1
IntL-VurbCP,20231002,1
IntL-VurbCP,20231003,1
IntL-VurbCP,20231004,1
IntL-VurbCP,20231005,1
IntL-VurbCP,20231006,1
IntL-VurbCP,20231009,1
IntL-VurbCP,20231010,1
IntL-VurbCP,20231011,1
IntL-VurbCP,20231012,1
IntL-VurbCP,20231013,1
IntL-VurbCP,20231016,1
IntL-VurbCP,20231017,1
IntL-VurbCP,20231018,1
IntL-VurbCP,20231019,1
IntL-VurbCP,20231020,1
IntL-VurbCP,20231023,1
IntL-VurbCP,20231024,1
IntL-VurbCP,20231025,1
IntL-VurbCP,20231026,1
IntL-VurbCP,20231027,1
IntL-VurbCP,20231030,1
IntL-VurbCP,20231031,1
IntL-VurbCP,20231102,1
IntL-VurbCP,20231103,1
IntL-VurbCP,20231106,1
IntL-VurbCP,20231107,1
IntL-VurbCP,20231108,1
IntL-VurbCP,20231109,1
IntL-VurbCP,20231110,1
IntL-VurbCP,20231113,1
IntL-VurbCP,20231114,1
IntL-VurbCP,20231115,1
IntL-VurbCP,20231116,1
IntL-VurbCP,20231117,1
IntL-VurbCP,20231120,1
IntL-VurbCP,20231121,1
IntL-VurbCP,20231122,1
IntL-VurbCP,20231123,1
IntL-VurbCP,20231124,1
IntL-VurbCP,20231127,1
IntL-VurbCP,20231128,1
IntL-VurbCP,20231129,1
IntL-VurbCP,20231130,1
IntL-VurbCP,20231201,1
IntL-VurbCP,20231204,1
IntL-VurbCP,20231205,1
IntL-VurbCP,20231206,1
IntL-VurbCP,20231207,1
IntL-VurbCP,20231211,1
IntL-VurbCP,20231212,1
IntL-VurbCP,20231213,1
IntL-VurbCP,20231214,1
IntL-VurbCP,20231215,1
IntL-VurbCP,20231218,1
IntL-VurbCP,20231219,1
IntL-VurbCP,20231220,1
IntL-VurbCP,20231221,1
IntL-VurbCP,20231222,1
IntL-VurbCP,20231227,1
IntL-VurbCP,20231228,1
IntL-VurbCP,20231229,1
IntLMMVScp,20230407,1
IntLMMVScp,20230408,1
IntLMMVScp,20230411,1
IntLMMVScp,20230412,1
IntLMMVScp,20230414,1
IntLMMVScp,20230415,1
IntLMMVScp,20230417,1
IntLMMVScp,20230418,1
IntLMMVScp,20230419,1
IntLMMVScp,20230421,1
IntLMMVScp,20230422,1
IntLMMVScp,20230424,1
IntLMMVScp,20230426,1
IntLMMVScp,20230428,1
IntLMMVScp,20230429,1
IntLMMVScp,20230502,1
IntLMMVScp,20230503,1
IntLMMVScp,20230505,1
IntLMMVScp,20230506,1
IntLMMVScp,20230508,1
IntLMMVScp,20230509,1
IntLMMVScp,20230510,1
IntLMMVScp,20230512,1
IntLMMVScp,20230513,1
IntLMMVScp,20230515,1
IntLMMVScp,20230516,1
IntLMMVScp,20230517,1
IntLMMVScp,20230519,1
IntLMMVScp,20230520,1
IntLMMVScp,20230522,1
IntLMMVScp,20230523,1
IntLMMVScp,20230524,1
IntLMMVScp,20230526,1
IntLMMVScp,20230527,1
IntLMMVScp,20230529,1
IntLMMVScp,20230530,1
IntLMMVScp,20230531,1
IntLMMVScp,20230603,1
IntLMMVScp,20230605,1
