service_id,day,exception_type
IntL-SurbCP,2023-12-04,1
IntL-SurbCP,2023-12-05,1
IntL-SurbCP,2023-12-06,1
IntL-SurbCP,2023-12-07,1
IntL-SurbCP,2023-12-09,1
IntL-SurbCP,2023-12-11,1
IntL-SurbCP,2023-12-12,1
IntL-SurbCP,2023-12-13,1
IntL-SurbCP,2023-12-14,1
IntL-SurbCP,2023-12-15,1
IntL-SurbCP,2023-12-16,1
IntL-SurbCP,2023-12-18,1
IntL-SurbCP,2023-12-19,1
IntL-SurbCP,2023-12-20,1
IntL-SurbCP,2023-12-21,1
IntL-SurbCP,2023-12-22,1
IntL-SurbCP,2023-12-23,1
IntL-SurbCP,2023-12-27,1
IntL-SurbCP,2023-12-28,1
IntL-SurbCP,2023-12-29,1
IntL-SurbCP,2023-12-30,1
IntL-VurbCP,2023-04-06,1
IntL-VurbCP,2023-04-07,1
IntL-VurbCP,2023-04-11,1
IntL-VurbCP,2023-04-12,1
IntL-VurbCP,2023-04-13,1
IntL-VurbCP,2023-04-14,1
IntL-VurbCP,2023-04-17,1
IntL-VurbCP,2023-04-18,1
IntL-VurbCP,2023-04-19,1
IntL-VurbCP,2023-04-20,1
IntL-VurbCP,2023-04-21,1
IntL-VurbCP,2023-04-24,1
IntL-VurbCP,2023-04-26,1
IntL-VurbCP,2023-04-27,1
IntL-VurbCP,2023-04-28,1
IntL-VurbCP,2023-05-02,1
IntL-VurbCP,2023-05-03,1
IntL-VurbCP,2023-05-04,1
IntL-VurbCP,2023-05-05,1
IntL-VurbCP,2023-05-08,1
IntL-VurbCP,2023-05-09,1
IntL-VurbCP,2023-05-10,1
IntL-VurbCP,2023-05-11,1
IntL-VurbCP,2023-05-12,1
IntL-VurbCP,2023-05-15,1
IntL-VurbCP,2023-05-16,1
IntL-VurbCP,2023-05-17,1
IntL-VurbCP,2023-05-18,1
IntL-VurbCP,2023-05-19,1
IntL-VurbCP,2023-05-22,1
IntL-VurbCP,2023-05-23,1
IntL-VurbCP,2023-05-24,1
IntL-VurbCP,2023-05-25,1
IntL-VurbCP,2023-05-26,1
IntL-VurbCP,2023-05-29,1
IntL-VurbCP,2023-05-30,1
IntL-VurbCP,2023-05-31,1
IntL-VurbCP,2023-06-01,1
IntL-VurbCP,2023-06-05,1
IntL-VurbCP,2023-06-06,1
IntL-VurbCP,2023-06-07,1
IntL-VurbCP,2023-09-18,1
IntL-VurbCP,2023-09-19,1
IntL-VurbCP,2023-09-20,1
IntL-VurbCP,2023-09-21,1
IntL-VurbCP,2023-09-22,1
IntL-VurbCP,2023-09-25,1
IntL-VurbCP,2023-09-26,1
IntL-VurbCP,2023-09-27,1
IntL-VurbCP,2023-09-28,1
IntL-VurbCP,2023-09-29,1
IntL-VurbCP,2023-10-02,1
IntL-VurbCP,2023-10-03,1
IntL-VurbCP,2023-10-04,1
IntL-VurbCP,2023-10-05,1
IntL-VurbCP,2023-10-06,1
IntL-VurbCP,2023-10-09,1
IntL-VurbCP,2023-10-10,1
IntL-VurbCP,2023-10-11,1
IntL-VurbCP,2023-10-12,1
IntL-VurbCP,2023-10-13,1
IntL-VurbCP,2023-10-16,1
IntL-VurbCP,2023-10-17,1
IntL-VurbCP,2023-10-18,1
IntL-VurbCP,2023-10-19,1
IntL-VurbCP,2023-10-20,1
IntL-VurbCP,2023-10-23,1
IntL-VurbCP,2023-10-24,1
IntL-VurbCP,2023-10-25,1
IntL-VurbCP,2023-10-26,1
IntL-VurbCP,2023-10-27,1
IntL-VurbCP,2023-10-30,1
IntL-VurbCP,2023-10-31,1
IntL-VurbCP,2023-11-02,1
IntL-VurbCP,2023-11-03,1
IntL-VurbCP,2023-11-06,1
IntL-VurbCP,2023-11-07,1
IntL-VurbCP,2023-11-08,1
IntL-VurbCP,2023-11-09,1
IntL-VurbCP,2023-11-10,1
IntL-VurbCP,2023-11-13,1
IntL-VurbCP,2023-11-14,1
IntL-VurbCP,2023-11-15,1
IntL-VurbCP,2023-11-16,1
IntL-VurbCP,2023-11-17,1
IntL-VurbCP,2023-11-20,1
IntL-VurbCP,2023-11-21,1
IntL-VurbCP,2023-11-22,1
IntL-VurbCP,2023-11-23,1
IntL-VurbCP,2023-11-24,1
IntL-VurbCP,2023-11-27,1
IntL-VurbCP,2023-11-28,1
IntL-VurbCP,2023-11-29,1
IntL-VurbCP,2023-11-30,1
IntL-VurbCP,2023-12-01,1
IntL-VurbCP,2023-12-04,1
IntL-VurbCP,2023-12-05,1
IntL-VurbCP,2023-12-06,1
IntL-VurbCP,2023-12-07,1
IntL-VurbCP,2023-12-11,1
IntL-VurbCP,2023-12-12,1
IntL-VurbCP,2023-12-13,1
IntL-VurbCP,2023-12-14,1
IntL-VurbCP,2023-12-15,1
IntL-VurbCP,2023-12-18,1
IntL-VurbCP,2023-12-19,1
IntL-VurbCP,2023-12-20,1
IntL-VurbCP,2023-12-21,1
IntL-VurbCP,2023-12-22,1
IntL-VurbCP,2023-12-27,1
IntL-VurbCP,2023-12-28,1
IntL-VurbCP,2023-12-29,1
IntLMMVScp,2023-04-07,1
IntLMMVScp,2023-04-08,1
IntLMMVScp,2023-04-11,1
IntLMMVScp,2023-04-12,1
IntLMMVScp,2023-04-14,1
IntLMMVScp,2023-04-15,1
IntLMMVScp,2023-04-17,1
IntLMMVScp,2023-04-18,1
IntLMMVScp,2023-04-19,1
IntLMMVScp,2023-04-21,1
IntLMMVScp,2023-04-22,1
IntLMMVScp,2023-04-24,1
IntLMMVScp,2023-04-26,1
IntLMMVScp,2023-04-28,1
IntLMMVScp,2023-04-29,1
IntLMMVScp,2023-05-02,1
IntLMMVScp,2023-05-03,1
IntLMMVScp,2023-05-05,1
IntLMMVScp,2023-05-06,1
IntLMMVScp,2023-05-08,1
IntLMMVScp,2023-05-09,1
IntLMMVScp,2023-05-10,1
IntLMMVScp,2023-05-12,1
IntLMMVScp,2023-05-13,1
IntLMMVScp,2023-05-15,1
IntLMMVScp,2023-05-16,1
IntLMMVScp,2023-05-17,1
IntLMMVScp,2023-05-19,1
IntLMMVScp,2023-05-20,1
IntLMMVScp,2023-05-22,1
IntLMMVScp,2023-05-23,1
IntLMMVScp,2023-05-24,1
IntLMMVScp,2023-05-26,1
IntLMMVScp,2023-05-27,1
IntLMMVScp,2023-05-29,1
IntLMMVScp,2023-05-30,1
IntLMMVScp,2023-05-31,1
IntLMMVScp,2023-06-03,1
IntLMMVScp,2023-06-05,1
IntLMMVScp,2023-06-06,1
IntLMMVScp,2023-06-07,1
IntLMMVScp,2023-09-18,1
IntLMMVScp,2023-09-19,1
IntLMMVScp,2023-09-20,1
IntLMMVScp,2023-09-22,1
IntLMMVScp,2023-09-23,1
IntLMMVScp,2023-09-25,1
IntLMMVScp,2023-09-26,1
IntLMMVScp,2023-09-27,1
IntLMMVScp,2023-09-29,1
IntLMMVScp,2023-09-30,1
IntLMMVScp,2023-10-02,1
IntLMMVScp,2023-10-03,1
IntLMMVScp,2023-10-04,1
IntLMMVScp,2023-10-06,1
IntLMMVScp,2023-10-07,1
IntLMMVScp,2023-10-09,1
IntLMMVScp,2023-10-10,1
IntLMMVScp,2023-10-11,1
IntLMMVScp,2023-10-13,1
IntLMMVScp,2023-10-14,1
IntLMMVScp,2023-10-16,1
IntLMMVScp,2023-10-17,1
IntLMMVScp,2023-10-18,1
IntLMMVScp,2023-10-20,1
IntLMMVScp,2023-10-21,1
IntLMMVScp,2023-10-23,1
IntLMMVScp,2023-10-24,1
IntLMMVScp,2023-10-25,1
IntLMMVScp,2023-10-27,1
IntLMMVScp,2023-10-28,1
IntLMMVScp,2023-10-30,1
IntLMMVScp,2023-10-31,1
IntLMMVScp,2023-11-03,1
IntLMMVScp,2023-11-04,1
IntLMMVScp,2023-11-06,1
IntLMMVScp,2023-11-07,1
IntLMMVScp,2023-11-08,1
IntLMMVScp,2023-11-10,1
IntLMMVScp,2023-11-11,1
IntLMMVScp,2023-11-13,1
IntLMMVScp,2023-11-14,1
IntLMMVScp,2023-11-15,1
IntLMMVScp,2023-11-17,1
IntLMMVScp,2023-11-18,1
IntLMMVScp,2023-11-20,1
IntLMMVScp,2023-11-21,1
IntLMMVScp,2023-11-22,1
IntLMMVScp,2023-11-24,1
IntLMMVScp,2023-11-25,1
IntLMMVScp,2023-11-27,1
IntLMMVScp,2023-11-28,1
IntLMMVScp,2023-11-29,1
IntLMMVScp,2023-12-01,1
IntLMMVScp,2023-12-02,1
IntLMMVScp,2023-12-04,1
IntLMMVScp,2023-12-05,1
IntLMMVScp,2023-12-06,1
IntLMMVScp,2023-12-09,1
IntLMMVScp,2023-12-11,1
IntLMMVScp,2023-12-12,1
IntLMMVScp,2023-12-13,1
IntLMMVScp,2023-12-15,1
IntLMMVScp,2023-12-16,1
IntLMMVScp,2023-12-18,1
IntLMMVScp,2023-12-19,1
IntLMMVScp,2023-12-20,1
IntLMMVScp,2023-12-22,1
IntLMMVScp,2023-12-23,1
IntLMMVScp,2023-12-27,1
IntLMMVScp,2023-12-29,1
IntLMMVScp,2023-12-30,1
IntLMMVcp,2023-04-07,1
IntLMMVcp,2023-04-11,1
IntLMMVcp,2023-04-12,1
IntLMMVcp,2023-04-14,1
IntLMMVcp,2023-04-17,1
IntLMMVcp,2023-04-18,1
IntLMMVcp,2023-04-19,1
IntLMMVcp,2023-04-21,1
IntLMMVcp,2023-04-24,1
IntLMMVcp,2023-04-26,1
IntLMMVcp,2023-04-28,1
IntLMMVcp,2023-05-02,1
IntLMMVcp,2023-05-03,1
IntLMMVcp,2023-05-05,1
IntLMMVcp,2023-05-08,1
IntLMMVcp,2023-05-09,1
IntLMMVcp,2023-05-10,1
IntLMMVcp,2023-05-12,1
IntLMMVcp,2023-05-15,1
IntLMMVcp,2023-05-16,1
IntLMMVcp,2023-05-17,1
IntLMMVcp,2023-05-19,1
IntLMMVcp,2023-05-22,1
IntLMMVcp,2023-05-23,1
IntLMMVcp,2023-05-24,1
IntLMMVcp,2023-05-26,1
IntLMMVcp,2023-05-29,1
IntLMMVcp,2023-05-30,1
IntLMMVcp,2023-05-31,1
IntLMMVcp,2023-06-05,1
IntLMMVcp,2023-06-06,1
IntLMMVcp,2023-06-07,1
IntLMMVcp,2023-09-18,1
IntLMMVcp,2023-09-19,1
IntLMMVcp,2023-09-20,1
IntLMMVcp,2023-09-22,1
IntLMMVcp,2023-09-25,1
IntLMMVcp,2023-09-26,1
IntLMMVcp,2023-09-27,1
IntLMMVcp,2023-09-29,1
IntLMMVcp,2023-10-02,1
IntLMMVcp,2023-10-03,1
IntLMMVcp,2023-10-04,1
IntLMMVcp,2023-10-06,1
IntLMMVcp,2023-10-09,1
IntLMMVcp,2023-10-10,1
IntLMMVcp,2023-10-11,1
