stop_id,stop_name,stop_lat,stop_lon
2050,Santa Liberata bv,44.516413839726646,10.989261186435176
2048,Caseificio Rola,44.521372903021735,10.980017582630705
2046,Sant'Eusebio bv,44.525852428650225,10.970869507422794
2040,Confine,44.503970741276241,11.022652005397104
2036,San Pellegrino,44.523701383317523,11.02231557750698
2030,Savignano Mulino,44.492611739953006,11.045262951179964
2029,Franchini,44.496732570386406,11.045897597873848
2024,Ponte Legno,44.495608380633826,10.943813909178877
2022,Fornace Cavallini,44.490976892084781,10.940352287645068
2020,Bell'Italia,44.485133977302169,10.936121739006987
2018,Serra di Levizzano,44.48242488545359,10.926500211968143
2016,Laghetto,44.480801042012352,10.919216298229976
2014,Casa Duchi,44.482384861016847,10.912817241194176
617,Km 161,44.649743652179318,10.797471133500849
614,Emilia Ovest bv Virgilio,44.647456397250316,10.859899153157761
6958,Germania bv Nazioni,44.670667307129527,10.933964267079281
6957,Nazioni bv Cavazza,44.675462508561424,10.935738759585757
6956,Don Monari Chiesa,44.662680992846788,10.927114126889869
6955,Nazioni bv Bulgaria,44.673321110564366,10.934607676647918
6953,Germania bv Ungheria,44.669858735377197,10.937053412335871
6951,Romania,44.667455173160299,10.937049021362261
6947,Anderlini asilo,44.661570364063579,10.926244812896782
6945,Canaletto cantina Chiarli,44.660374430448208,10.928828808690731
6944,Don Monari bv Canaletto,44.662243323916144,10.929042164614982
6938,Sant'Anna bv Suore,44.662920149740117,10.912893396081943
6937,Suore SETA,44.663013270877443,10.916466243468978
6924,Suore bv Tangenziale,44.662838399737588,10.918302129984712
6920,Cassiani,44.661746283220005,10.924888349485881
692,Villa Nasi,44.682933510183496,10.937918235897023
6915,Scuole Marconi,44.65782022540948,10.930812622174015
6910,SANT'ANNA CAPOLINEA,44.664634345709445,10.913744497755919
6909,GRAMSCI,44.661584900323746,10.940801580499668
6908,Gramsci bv Donati,44.660608268223051,10.939999559803748
6907,Gramsci bv Toniolo,44.659093712827868,10.938536355480981
6905,Gramsci edicola,44.657331489466827,10.936812723188627
6903,Gramsci farmacia,44.655772543930489,10.935310372774561
2910,Vitriola bv,44.356958398518032,10.629596325025039
2902,Palagano Municipio,44.320564082332154,10.648113807435204
290,San Martino Secchia bv,44.813029992477901,10.993073811280381
2890,Casa Volpe,44.349840290793487,10.625584836167732
2888,Giunzione,44.333584610268524,10.544244328824405
2886,Croce d'Isola,44.341021551830671,10.542871470934127
2884,Ceresola,44.342190604324919,10.558219666584653
2882,Le Borre,44.346124836935957,10.562175503806971
2880,Farneta,44.349129330274671,10.570887348402509
2878,Mulino Porcella,44.346542064625723,10.575058777841051
2876,Gusciola,44.349960836508409,10.586931728340206
2874,Casa Nuova Saletto,44.352441882970965,10.598818205319361
2872,Ca' Bocci,44.354009428206318,10.613466222345458
2860,Pieve,44.35725676214679,10.610468477411755
2858,Albero,44.363807687657719,10.612605734429494
2856,Rubbiano,44.367306912247741,10.616630043791378
2850,Rubbiano bv,44.373972185244853,10.625285945380091
2840,Chilometro 39 e 800,44.372413930088015,10.629761381518847
2838,Casa Sabatini,44.370831078782238,10.631537394706857
2836,Boschi,44.367624089421817,10.635451952786539
2834,Case Nuove,44.374772157372675,10.624743236796613
2833,Montestefano,44.376502553729097,10.62207978116075
2832,Casa Quaranta,44.374095125456591,10.617896293616724
2830,Ponte Dolo,44.375174792712002,10.612214820850326
2818,Lame,44.335275010601485,11.010570327806201
2816,Villa Pianazzi,44.333673402531709,10.999239268545292
2815,Ceretolo,44.323818966169725,11.014906832836809
2812,Pediera,44.350507125692332,10.984881000835212
2800,Novi,44.894304606604678,10.90049051002252
280,Cortile scuole,44.815156596730382,10.978982188403599
2793,Dante,44.34707853470448,10.835730672718309
2792,Minghetti,44.770323760904191,10.88438792160532
2778,Molino,44.359366373319318,10.947207914241094
2770,Missano bv,44.360901976107321,10.946907422300308
2768,Gainazzo bv,44.363881404181818,10.941120355018255
